"STATION","NAME","DATE","AWND","DAPR","MDPR","PGTM","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","TOBS","WDF2","WDF5","WESD","WESF","WSF2","WSF5","WT01","WT02","WT03","WT05","WT08","WT09"
"US1CASC0015","SARATOGA 0.5 N, CA US","2023-01-01",,,,,"1.69",,,,,,,,,,,,,,,,,,
"US1CASC0015","SARATOGA 0.5 N, CA US","2023-01-02",,,,,"0.02",,,,,,,,,,,,,,,,,,
"US1CASC0015","SARATOGA 0.5 N, CA US","2023-01-03",,,,,"0.06",,,,,,,,,,,,,,,,,,
"US1CASC0015","SARATOGA 0.5 N, CA US","2023-01-04",,,,,"0.16",,,,,,,,,,,,,,,,,,
"US1CASC0015","SARATOGA 0.5 N, CA US","2023-01-05",,,,,"2.49",,,,,,,,,,,,,,,,,,
"US1CASC0015","SARATOGA 0.5 N, CA US","2023-01-06",,,,,"0.51",,,,,,,,,,,,,,,,,,
"US1CASC0015","SARATOGA 0.5 N, CA US","2023-01-07",,,,,"0.01",,,,,,,,,,,,,,,,,,
"US1CASC0015","SARATOGA 0.5 N, CA US","2023-01-08",,,,,"1.35",,,,,,,,,,,,,,,,,,
"US1CASC0015","SARATOGA 0.5 N, CA US","2023-01-09",,,,,"2.09",,,,,,,,,,,,,,,,,,
"US1CASC0015","SARATOGA 0.5 N, CA US","2023-01-10",,,,,"0.71",,,,,,,,,,,,,,,,,,
"US1CASC0015","SARATOGA 0.5 N, CA US","2023-01-11",,,,,"0.49",,,,,,,,,,,,,,,,,,
"US1CASC0015","SARATOGA 0.5 N, CA US","2023-01-12",,,,,"0.24",,,,,,,,,,,,,,,,,,
"US1CASC0015","SARATOGA 0.5 N, CA US","2023-01-13",,,,,"0.02",,,,,,,,,,,,,,,,,,
"US1CASC0015","SARATOGA 0.5 N, CA US","2023-01-14",,,,,"2.32",,,,,,,,,,,,,,,,,,
"US1CASC0015","SARATOGA 0.5 N, CA US","2023-01-15",,,,,"0.74",,,,,,,,,,,,,,,,,,
"US1CASC0015","SARATOGA 0.5 N, CA US","2023-01-16",,,,,"1.72",,,,,,,,,,,,,,,,,,
"US1CASC0015","SARATOGA 0.5 N, CA US","2023-01-17",,,,,"0.05",,,,,,,,,,,,,,,,,,
"US1CASC0015","SARATOGA 0.5 N, CA US","2023-01-18",,,,,"0.01",,,,,,,,,,,,,,,,,,
"US1CASC0015","SARATOGA 0.5 N, CA US","2023-01-19",,,,,"0.08",,,,,,,,,,,,,,,,,,
"US1CASC0015","SARATOGA 0.5 N, CA US","2023-01-20",,,,,"0.01",,,,,,,,,,,,,,,,,,
"US1CASC0015","SARATOGA 0.5 N, CA US","2023-01-21",,,,,"0.00","0.0",,,,,,,,,,,,,,,,,
"US1CASC0015","SARATOGA 0.5 N, CA US","2023-01-22",,,,,"0.00","0.0",,,,,,,,,,,,,,,,,
"US1CASC0015","SARATOGA 0.5 N, CA US","2023-01-23",,,,,"0.00","0.0",,,,,,,,,,,,,,,,,
